ID,Var,Plot,Pop,Add,Garden,OrigSize,Flow14,FlowNo14,Dayofyear14,Alive14,Size14,Flow15,FlowNo15,Dayofyear15,Alive15,Size15,Flow16,FlowNo16,Dayofyear16,Alive16,Size16
83B,Southern,C,C,1,TARTU,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84B,Northern,C,H,1,TARTU,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85B,Southern,C,B,1,TARTU,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86B,Southern,C,C,1,TARTU,7.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88B,Northern,C,I,1,TARTU,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89B,Southern,C,C,1,TARTU,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90B,Northern,C,F,1,TARTU,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92B,Northern,D,G,1,HELSINKI,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93B,Northern,D,G,1,HELSINKI,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97B,Northern,D,I,1,HELSINKI,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98B,Northern,D,I,1,HELSINKI,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100B,Northern,D,I,1,HELSINKI,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105B,Northern,D,G,1,HELSINKI,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107B,Northern,D,G,1,HELSINKI,1.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109B,Northern,D,G,1,HELSINKI,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118B,Northern,D,G,1,HELSINKI,0.148,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.59
128B,Northern,E,G,1,HELSINKI,0.163,0,0,0,1,0.216,0,0,0,0,0,0,0,0,0,0
129B,Northern,E,G,1,HELSINKI,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137B,Northern,E,I,1,HELSINKI,1.044,0,0,0,1,0.787,0,0,0,0,0,0,0,0,0,0
138B,Northern,E,G,1,HELSINKI,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141B,Northern,E,G,1,HELSINKI,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146B,Northern,E,I,1,HELSINKI,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150B,Northern,E,G,1,HELSINKI,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153B,Northern,F,K,1,HELSINKI,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163B,Northern,F,G,1,HELSINKI,0.188,0,0,0,1,1.193,0,0,0,0,0,0,0,0,0,0
